.,Czech
EventRevealStarCalendarProfessorInnocent.text,"Naléhavě vyprávíte svůj příběh o Hvězdném kalendáři a vaší expedici, která ho získala v hlubinách brazilské džungle. Profesor Smith je vaším příběhem ohromen, ale nezdá se, že by ho to vyvedlo z míry.\n\nOd té doby, co se v Arkhamu rozšířily zvěsti o tomto reliktu, mnoho jednotlivců a skupin zkoumalo jeho pravost a potenciální sílu, vysvětluje. Dokonce i tady na Miskatonické univerzitě jsme o něm zjistili více, než byste čekali. Jsem rád, že jste mě na to upozornili, protože budeme muset okamžitě uspořádat rituál, abychom jeho sílu potlačili a vyhnali ho zpět do světa, odkud přišel. Možná bychom měli přizvat další členy fakulty, kteří jsou dnes večer stále zde?\n\nOkamžitě přesvědčíte Smithe, že ostatní by neměli být důvěryhodní. Snadno je přesvědčen. Pokud váš tým našel 3 Důkazy, může si každý vyšetřovatel otočit 1 Kartu Strachu lícem dolů nebo odhodit 1 Kartu Strachu lícem dolů.\n\nOdstraňte žeton profesora Smithe z desky."
EventBeginRitualWithDoctor.text,"Odhoďte Unikátní předmět Hvězdný kalendář. Opatrně ho položíte na podlahu a připravujete se následovat Rosiny pokyny.\n\nDr.Barnettová pokračuje: Společný výzkum mě vede k přesvědčení, že tento artefakt je spojení mezi světy. Legenda tvrdí, že mocná entita, známá pouze jako Yig, byla schopna tento artefakt poslat do našeho světa před stovkami let. Při správném pochopení jeho schopností by mohl být Yig přivolán do našeho světa. A to se zdá být motivem Kultu Zeleného Oka. Jsou následovníky této zlé bytosti a věří, že přivedou nový svět, kde budou mít pod Yigovou železnou vládou vlivné postavení.\n\nTeď musíme tuto zlou kamennou věc vyhnat zpět do Yigova světa. Čím více z nás bude při rituálu odříkávat magická slova, tím účinnější budeme. Také musíme do podlahy vyrýt podivná souhvězdí. Jakmile dokončíme obě části rituálu, můžeme artefakt umístit do rytiny a měl by se teleportovat zpět k Yigovi, rozbitý na stovky kousků.\n\nUmístěte 2 Žetony Interakce dle instrukcí."
EventBeginRitualWithDoctor.button1,"Pokračovat"
EventStartRitualWithDean.text,"Odhoďte Unikátní předmět Hvězdný kalendář. Opatrně ho položíte na podlahu a připravujete se následovat Eugeneovy pokyny.\n\nDěkan Clemens pokračuje: Společný výzkum mě vede k přesvědčení, že tento artefakt je spojení mezi světy. Legenda tvrdí, že mocná entita, známá pouze jako Yig, byla schopna tento artefakt poslat do našeho světa před stovkami let. Při správném pochopení jeho schopností by mohl být Yig přivolán do našeho světa. A to se zdá být motivem Kultu Zeleného Oka. Jsou následovníky této zlé bytosti a věří, že přivedou nový svět, kde budou mít pod Yigovou železnou vládou vlivné postavení.\n\nTeď musíme tuto zlou kamennou věc vyhnat zpět do Yigova světa. Čím více z nás bude při rituálu odříkávat magická slova, tím účinnější budeme. Také musíme do podlahy vyrýt podivná souhvězdí. Jakmile dokončíme obě části rituálu, můžeme artefakt umístit do rytiny a měl by se teleportovat zpět k Yigovi, rozbitý na stovky kousků.\n\nUmístěte 2 Žetony Interakce dle instrukcí."
EventStartRitualWithDean.button1,"Pokračovat"
EventBeginRitualWithProfessor.text,"Odhoďte Unikátní předmět Hvězdný kalendář. Opatrně ho položíte na podlahu a připravujete se následovat profesorovy pokyny.\n\nProfesor Smith pokračuje: Společný výzkum mě vede k přesvědčení, že tento artefakt je spojení mezi světy. Legenda tvrdí, že mocná entita, známá pouze jako Yig, byla schopna tento artefakt poslat do našeho světa před stovkami let. Při správném pochopení jeho schopností by mohl být Yig přivolán do našeho světa. A to se zdá být zájmem Kultu Zeleného Oka. Jsou následovníky této zlé bytosti a věří, že přivedou nový svět, kde budou mít pod Yigovou železnou vládou vlivné postavení.\n\nTeď musíme tuto zlou kamennou věc vyhnat zpět do Yigova světa. Čím více z nás bude při rituálu odříkávat magická slova, tím účinnější budeme. Také musíme do podlahy vyrýt podivná souhvězdí. Jakmile dokončíme obě části rituálu, můžeme artefakt umístit do rytiny a měl by se teleportovat zpět k Yigovi, rozbitý na stovky kousků.\n\nUmístěte 2 Žetony Interakce dle instrukcí."
EventBeginRitualWithProfessor.button1,"Pokračovat"
EventEliminated.button1,Button1
EventKillYig.text,"Monstrózní entita Yig je pokrytá purpurovou krví stékající po jeho šupinatém těle. Sténajíc a syčíc bolestí tvor zaskřehotá: Vaše síla... je větší, než jsem očekával. Zmizte odsud! Tvor se plazí do temnoty a mizí z dohledu.\n\nVyšetřování je úspěšně dokončeno."
EventKillYig.button1,"Pokračovat"
EventVictorySequenceStart.button1,"Button1"
EventEliminatedFinalBattle.text,"Se smrtí vašeho přítele nemáte žádnou naději na překonání Yigovy moci.\n\nVyšetřování není dokončeno."
EventEliminatedFinalBattle.button1,"Pokračovat"
EventEliminatedStandard.text,"Smrt vašeho přítele předznamenává váš konec.\n\nVyšetřování není dokončeno."
EventEliminatedStandard.button1,"Pokračovat"
EventVictoryAfterKillingYig.button1,"Pokračovat"
EventVictoryBanishingArtifact.text,"Po dokončení rituálu umístíte Hvězdný kalendář do rytin, které jste vytvořili v podlaze.\n\nVyšetřování je dokončeno."
EventVictoryBanishingArtifact.button1,"Pokračovat"
UIContinueEndGame.uitext,"Pokračovat"
UIContinueEndGame.button1,"Button1"
UIKilledByYigText.uitext,"Zoufalí nad smrtí svého přítele ztrácíte soustředění, zatímco se vám v mysli šíří hrůza. Jak byste kdy mohli doufat, že přemůžete takovou entitu? Yig se směje, když cítí vaše zoufalství. Nikdy jste neměli šanci, zasyčí. Jste vhodnou obětí. Měl bych odměnit své následovníky ve vašem světě tím, že si na nich také pochutnám!\n\nYig odhodí vaše těla do jezera plného hladových hadů. Moje děti si užijí víc lidského masa. Teď jsem přivoláván do vašeho světa. Ujistím se, že všechno, co jste kdy milovali, bude naprosto zničeno. Yig se maniakálně směje, když mizí.\n\nJak hadí tesáky pronikají do každé části vašeho těla, ponořujete se do vodních hlubin. Vaší jedinou útěchou je, že jste nemuseli být svědky zničení vašeho domova a vašich blízkých."
UIStandardDeathText.uitext,"Získávaje sílu z těla vašeho mrtvého přítele, Hvězdný kalendář vás vtáhne do portálu vedoucího do svého domovského světa. Nebe je temné, krajina pustá, ale nejhroznější věc, kterou spatříte, se tyčí před vámi. Napůl had, napůl nadpozemská bytost, monstrum, které jste nikdy předtím neviděli.\n\nSe syčením rozkoše tvor promluví dunivým hlasem: Vítejte v mém domově, lidé. Jsem Yig, Vládce hadů, a vy musíte být ti, kdo nesli můj relikt. Cítil jsem vás skrze jeho spojení s mým světem. Nyní vás přivedl ke mně. Stanete se chutnou obětí pro mě a mé děti.\n\nStovky hadů se kolem vás plazí, rozeklané jazyky šlehají ve vzduchu. Váš osud je zpečetěn, ale alespoň můžete pár z nich vzít s sebou. Se vším, co máte, udeříte do několika z nich smrtícími údery. Nakonec však rychle podlehnete jejich jedovatým tesákům. Jak vaše vědomí slábne, v hlavě vám doznívá děsivý smích Yiga."
UIKillYigText.uitext,"Náhle jste přeneseni zpět do děkanátu na Miskatonické univerzitě.\nČlenové Kultu Zeleného Oka se shlukují kolem Hvězdného kalendáře, tak zaujatí, že si nevšímají vašeho náhlého příchodu. Mnozí z nich nabyli hadí podoby, zjevně obdaření samotným Yigem.\n\nBez varování se artefakt rozpadne na prach. Místností se rozléhají záchvaty úžasu a výkřiky, když se kultisté hroutí v zoufalství. Nevíte, zda Yig zemřel, nebo byl jen zraněn. Ale je jasné, že váš úspěch v boji proti zlé entitě vedl ke zničení Hvězdného kalendáře.\n\nVíte, že váš život bude v ohrožení, pokud zjistí, že jste přežili, a vzhledem k jejich zlým záměrům usoudíte, že si nezaslouží žádné slitování. Připravujete své zbraně a během několika sekund zabijete každého z nich. S jejich smrtí a zničením Hvězdného kalendáře si oddechnete. Zjistili jste a viděli víc, než jste chtěli, ale alespoň jste splnili svůj úkol. Plány Kultu Zeleného Oka byly zastaveny a relikt již neohrožuje Arkham."
UIArtifactBanishedText.uitext,"Hvězdný kalendář zmizí, jakmile se dotkne rytin na podlaze. Kultisté, Yigovi následovníci, reagují na náhlé zmizení artefaktu, jako by v mysli slyšeli Yigův hněv. Padají k zemi, svíjejí se v zjevné agónii. Víte, že teď je vaše chvíle zasáhnout.\n\nRychle zlikvidujete každého člena Kultu Zeleného Oka, kterého najdete. Všichni nejsou schopni bojovat v jejich zběsilé šílenosti, zavoláte úřady a připravíte se vysvětlit šílený pohled, který je čeká. Nevíte, jak vysvětlíte hadí humanoidy, ale to vás nezajímá. Zachránili jste den a relikt už Arkhamu neohrožuje… alespoň prozatím."
EventKillMirrorSerpent.text,"Když se tvor svíjí před vámi, jeho tělo se vsákne do podlahy a zrcadlo se vrátí do původního stavu. Dveře se znovu otevřou, jako by se nic nestalo.\n\nNyní vidíte, že červený předmět připojený k jeho krku byl malý had, který vašemu nepříteli do těla vpravil jed. Plazí se po zemi, zdá se, že vítá vaši přítomnost. Říká se, že nepřítel vašeho nepřítele je váš přítel. Možná nejsou všechny bytosti z tohoto hrůzného místa zlé.\n\nUmístěte Unikátní předmět Záhadný had do této oblasti."
EventMythosRndmObsess.text,"Touha po Hvězdném kalendáři přemůže {rnd:hero}. Tato posedlost je neukojitelná. Vezměte si 2 Karty Strachu (lze předejít úspěšným hodem na {will}-1).\n\nPokud tento vyšetřovatel nemá Hvězdný kalendář, přesuňte se o 2 oblasti směrem k vyšetřovateli, který ho drží, za každou obdrženou Kartu Strachu. Pokud dosáhnete jeho oblasti, vezměte si Hvězdný kalendář.\n\nPokud tento vyšetřovatel již drží Hvězdný kalendář, vezměte si 1 Kartu Strachu lícem dolů za každou obdrženou Kartu Strachu. Poté se staňte Ochromeným."
EventNoMythos1.text,"Tíha vyšetřování je mentálně vyčerpávající. Všichni vyšetřovatelé provedou hod ({will}: 2). Pokud neuspějete, odhoďte 1 pozitivní stav."
EventNoMythos3.text,"Tíha vyšetřování je mentálně vyčerpávající. Všichni vyšetřovatelé provedou hod ({will}: 2). Pokud neuspějete, odhoďte 1 Žeton Stopy."
EventNoMythos2.text,"Tíha vyšetřování je mentálně vyčerpávající. Všichni vyšetřovatelé provedou hod ({will}: 2). Pokud neuspějete, odhoďte 1 Žeton Stopy."
EventNoMythos4.text,"Tíha vyšetřování je mentálně vyčerpávající. Všichni vyšetřovatelé provedou hod ({will}: 2). Pokud neuspějete, odhoďte 1 Žeton Stopy."
EventNoMythos5.text,"Tíha vyšetřování je mentálně vyčerpávající. Všichni vyšetřovatelé provedou hod ({will}: 2). Pokud neuspějete, odhoďte 1 pozitivní stav."
EventNoMythos6.text,"Tíha vyšetřování je mentálně vyčerpávající. Všichni vyšetřovatelé provedou hod ({will}: 2). Pokud neuspějete, odhoďte 1 Žeton Stopy."
EventMythosRandomInvestigator.button1,Pokračovat
EventTeleportToEntrance.text,"Vyšetřovatel držící Hvězdný kalendář cítí, jak artefakt prudce vibruje. V jednom okamžiku vibrace přestanou. Ocitnete se však opět před budovou děkanátu. Cítíte se, jako by se čas vrátil zpět, ale je možné, že čas byl vrácen jen pro vás? Cítíte se zdravější než dříve, ale jste zděšeni tím, co se právě stalo. Otočte 1 Zranění lícem dolů nebo odhoďte 1 Zranění lícem dolů. Vezměte si 1 Kartu Strachu lícem dolů.\n\nUmístěte svého vyšetřovatele dle instrukcí."
EventTeleportToEntrance.button1,"Pokračovat"
EventStarCalendarInsanity.text,"Hvězdný kalendář vám ukazuje hrůzy, které dělají z vašich nejhorších nočních můr klidné sny. Odporné bytosti, krvavé mrtvoly a záběry mučení těla i duše vám prolétají před očima jako dravý proud. Vyšetřovatel držící Hvězdný kalendář ztrácí kontrolu nad svými mentálními schopnostmi.\n\n***Poznámka: před kliknutím na 'Pokračovat' se ujistěte, že vyšetřovatel držící Hvězdný kalendář je jediný, kdo si přečte, co následuje."
EventStarCalendarInsanity.button1,"Pokračovat"
EventInsanity3Plus.button1,"Button1"
EventInsanity2Players.button1,"Button1"
EventCrisisInsanity.text,"Otočte 1 Kartu Strachu lícem nahoru, poté vyléčte všechny své Karty Strachu lícem dolů a získejte stav Šílenství <i><b>Krize svědomí</b></i> (ze speciálního balíčku odděleného na začátku hry). Žádný jiný hráč nesmí vědět, jaké šílenství jste získali.\n\nTento efekt vám může způsobit, že budete mít více než jeden stav šílenství. Pokud však toto šílenství bude v rozporu s vítěznou podmínkou jiného šílenství, které již máte, odhoďte předchozí šílenství a nahraďte ho tímto. Pro účely určení konfliktu pravidel šílenství je text na kartě šílenství 'Vyhrajete nebo prohrajete hru jako obvykle' přepsán jakoukoli speciální vítěznou podmínkou na jiných kartách šílenství, které máte.\n\nPo zbytek scénáře, pokud utrpíte tolik Strachu, že se rovná vaší Příčetnosti, jste vyřazeni."
EventCrisisInsanity.button1,"Pokračovat"
EventFearOfSnakesInsanity.text,"Otočte 1 Kartu Strachu lícem nahoru, poté vyléčte všechny své Karty Strachu otočené lícem dolů a získejte stav Šílenství <i><b>Ofidiofobie</b></i> (ze speciálního balíčku odděleného na začátku hry). Žádný jiný hráč nesmí vědět, jaké šílenství jste získali.\n\nTento efekt vám může způsobit, že budete mít více než jeden stav šílenství. Pokud však toto šílenství bude v rozporu s vítěznou podmínkou jiného šílenství, které již máte, odhoďte předchozí šílenství a nahraďte ho tímto. Pro účely určení konfliktu pravidel šílenství je text na kartě šílenství 'Vyhrajete nebo prohrajete hru jako obvykle' přepsán jakoukoli speciální vítěznou podmínkou na jiných kartách šílenství, které máte.\n\nPo zbytek scénáře, pokud utrpíte tolik Strachu, že se rovná vaší Příčetnosti, jste vyřazeni."
EventFearOfSnakesInsanity.button1,"Pokračovat"
EventForbiddenWordsInsanity.text,"Otočte 1 Kartu Strachu lícem nahoru, poté vyléčte všechny své Karty Strachu otočené lícem dolů a získejte stav Šílenství <i><b>Zakázaná slova</b></i> (ze speciálního balíčku odděleného na začátku hry). Žádný jiný hráč nesmí vědět, jaké šílenství jste získali.\n\nTento efekt vám může způsobit, že budete mít více než jeden stav šílenství. Pokud však toto šílenství bude v rozporu s vítěznou podmínkou jiného šílenství, které již máte, odhoďte předchozí šílenství a nahraďte ho tímto. Pro účely určení konfliktu pravidel šílenství je text na kartě šílenství 'Vyhrajete nebo prohrajete hru jako obvykle' přepsán jakoukoli speciální vítěznou podmínkou na jiných kartách šílenství, které máte.\n\nPo zbytek scénáře, pokud utrpíte tolik Strachu, že se rovná vaší Příčetnosti, jste vyřazeni."
EventForbiddenWordsInsanity.button1,"Pokračovat"
EventMiseryInsanity.text,"Otočte 1 Kartu Strachu lícem nahoru, poté vyléčte všechny své Karty Strachu otočené lícem dolů a získejte stav Šílenství <i><b>Bída miluje společnost</b></i> (ze speciálního balíčku odděleného na začátku hry). Žádný jiný hráč nesmí vědět, jaké šílenství jste získali.\n\nTento efekt vám může způsobit, že budete mít více než jeden stav šílenství. Pokud však toto šílenství bude v rozporu s vítěznou podmínkou jiného šílenství, které již máte, odhoďte předchozí šílenství a nahraďte ho tímto. Pro účely určení konfliktu pravidel šílenství je text na kartě šílenství 'Vyhrajete nebo prohrajete hru jako obvykle' přepsán jakoukoli speciální vítěznou podmínkou na jiných kartách šílenství, které máte.\n\nPo zbytek scénáře, pokud utrpíte tolik Strachu, že se rovná vaší Příčetnosti, jste vyřazeni."
EventMiseryInsanity.button1,"Pokračovat"
EventObsessiveInsanity.text,"Vyléčte všechny své Karty Strachu otočené lícem dolů a získejte stav Posedlost <i><b>Šílený</b></i> (ze speciálního balíčku odděleného na začátku hry). Žádný jiný hráč nesmí vědět, jaké šílenství jste získali.\n\nTento efekt vám může způsobit, že budete mít více než jeden stav šílenství. Pokud však toto šílenství bude v rozporu s vítěznou podmínkou jiného šílenství, které již máte, odhoďte předchozí šílenství a nahraďte ho tímto. Pro účely určení konfliktu pravidel šílenství je text na kartě šílenství 'Vyhrajete nebo prohrajete hru jako obvykle' přepsán jakoukoli speciální vítěznou podmínkou na jiných kartách šílenství, které máte.\n\nPo zbytek scénáře, pokud utrpíte tolik Strachu, že se rovná vaší Příčetnosti, jste vyřazeni."
EventObsessiveInsanity.button1,"Pokračovat"
EventRestlessInsanity.text,"Vyléčte všechny své Karty Strachu otočené lícem dolů a získejte stav Neklidná úzkost <i><b>Šílený</b></i> (ze speciálního balíčku odděleného na začátku hry). Žádný jiný hráč nesmí vědět, jaké šílenství jste získali.\n\nTento efekt vám může způsobit, že budete mít více než jeden stav šílenství. Pokud však toto šílenství bude v rozporu s vítěznou podmínkou jiného šílenství, které již máte, odhoďte předchozí šílenství a nahraďte ho tímto. Pro účely určení konfliktu pravidel šílenství je text na kartě šílenství 'Vyhrajete nebo prohrajete hru jako obvykle' přepsán jakoukoli speciální vítěznou podmínkou na jiných kartách šílenství, které máte.\n\nPo zbytek scénáře, pokud utrpíte tolik Strachu, že se rovná vaší Příčetnosti, jste vyřazeni."
EventRestlessInsanity.button1,"Pokračovat"
EventTreasureInsanity.text,"Vyléčte všechny své Karty Strachu otočené lícem dolů a získejte stav Lovec pokladů <i><b>Šílený</b></i> (ze speciálního balíčku odděleného na začátku hry). Žádný jiný hráč nesmí vědět, jaké šílenství jste získali.\n\nTento efekt vám může způsobit, že budete mít více než jeden stav šílenství. Pokud však toto šílenství bude v rozporu s vítěznou podmínkou jiného šílenství, které již máte, odhoďte předchozí šílenství a nahraďte ho tímto. Pro účely určení konfliktu pravidel šílenství je text na kartě šílenství 'Vyhrajete nebo prohrajete hru jako obvykle' přepsán jakoukoli speciální vítěznou podmínkou na jiných kartách šílenství, které máte.\n\nPo zbytek scénáře, pokud utrpíte tolik Strachu, že se rovná vaší Příčetnosti, jste vyřazeni."
EventTreasureInsanity.button1,"Pokračovat"
EventSuspicious.text,"Vyléčte všechny své Karty Strachu otočené lícem dolů a získejte stav Podezíravost <i><b>Šílený</b></i> (ze speciálního balíčku odděleného na začátku hry). Žádný jiný hráč nesmí vědět, jaké šílenství jste získali.\n\nTento efekt vám může způsobit, že budete mít více než jeden stav šílenství. Pokud však toto šílenství bude v rozporu s vítěznou podmínkou jiného šílenství, které již máte, odhoďte předchozí šílenství a nahraďte ho tímto. Pro účely určení konfliktu pravidel šílenství je text na kartě šílenství 'Vyhrajete nebo prohrajete hru jako obvykle' přepsán jakoukoli speciální vítěznou podmínkou na jiných kartách šílenství, které máte.\n\nPo zbytek scénáře, pokud utrpíte tolik Strachu, že se rovná vaší Příčetnosti, jste vyřazeni."
EventSuspicious.button1,"Pokračovat"
EventMythosRndmDropItem.text,"Neviditelná síla, zuřivě syčící, se pokouší vyrvat {rnd:hero} jeho věci. Snažíte se jít do protiútoku, ale síla vašeho neviditelného nepřítele je jako síla obrovské krajty. Vezměte si 4 Karty Zranění otočené lícem dolů (lze předejít úspěšným hodem na {strength}+{agility}).\n\nZamíchejte své běžné předměty, unikátní předměty a kouzla dohromady (kromě Hvězdného kalendáře). Za každé Zranění, které jste utrpěli, odhoďte náhodně jednu kartu do své oblasti."
EventMythosRndmDropItem.button1,Pokračovat
EventPullInsanityConditions.button1,Tlačítko1
EventPullInsanity3PlusPlayers.text,"Oddělte následující Stavy šílenství od balíčku (pokud se vyšetřovatel zblázní běžným způsobem, nemůže si vzít některý z těchto stavů):\n\nKrize svědomí, Ofidiofobie, Zakázaná slova, Bída miluje neštěstí, Pasivita (Poznámka: Pasivita je platný pouze pokud vlastníte rozšíření Za prahem).\n\nPoznámka: Nezapomeňte na akci 'Krádež'. Můžete chtít vzít Hvězdný kalendář jinému vyšetřovateli."
EventPullInsanity3PlusPlayers.button1,Pokračovat
EventPullInsanity2Players.text,"Oddělte následující Stavy šílenství od balíčku (pokud se vyšetřovatel zblázní běžným způsobem, nemůže si vzít některý z těchto stavů):\n\nPosedlost, Neklidná úzkost, Lovec pokladů, Podezřívavý, Agresivita (Poznámka: Agresivita je platný pouze pokud vlastníte rozšíření Posvátný soumrak).\n\nPoznámka: Nezapomeňte na akci 'Krádež'. Můžete chtít vzít Hvězdný kalendář jinému vyšetřovateli."
EventPullInsanity2Players.button1,Pokračovat
EventPassiveInsanity.button1,Pokračovat
EventAggressiveInsanity.text,"Vyléčte všechen svůj Strach otočený lícem dolů a získejte stav Šílenství <i><b>Agresivita</b></i> (z hromádky oddělené na začátku hry). Žádný jiný hráč nesmí vědět, jaké šílenství jste získali.\n\nTento efekt může způsobit, že budete mít více než jeden stav Šílenství. Pokud však toto šílenství koliduje s vítěznou podmínkou jiného šílenství, které již máte, odhoďte předchozí šílenství a nahraďte ho tímto. Pro účely určení konfliktních pravidel šílenství je text na kartě šílenství 'Vyhrajete nebo prohrajete hru normálně' přebit speciálními vítěznými podmínkami na jiných kartách šílenství, které máte.\n\nPo zbytek scénáře, pokud utrpíte tolik Strachu, kolik je rovno vaší Příčetnosti, jste eliminováni."
EventPassiveInsanity.text,"Otočte 1 Kartu Strachu lícem nahoru, poté vyléčte všechen svůj Strach otočený lícem dolů a získejte stav Šílenství<i><b>Pasivita</b></i> (z hromádky oddělené na začátku hry). Žádný jiný hráč nesmí vědět, jaké šílenství jste získali.\n\nTento efekt může způsobit, že budete mít více než jeden šílený stav. Pokud však toto šílenství koliduje s vítěznou podmínkou jiného šílenství, které již máte, odhoďte předchozí šílenství a nahraďte ho tímto. Pro účely určení konfliktních pravidel šílenství je text na kartě šílenství 'Vyhrajete nebo prohrajete hru normálně' přebit speciálními vítěznými podmínkami na jiných kartách šílenství, které máte.\n\nPo zbytek scénáře, pokud utrpíte tolik Strachu, kolik je rovno vaší Příčetnosti, jste eliminováni."
EventAggressiveInsanity.button1,Pokračovat
EventMythosStarCalendarClueLost3Players.text,"Vyšetřovatel držící Hvězdný kalendář má pocit, jako by jeho myšlenky a vzpomínky byly vysávány artefaktem.\n\nOdhoďte 1 Žeton stopy."
EventMythosStarCalendarClueLost2Player.text,"Vyšetřovatel držící Hvězdný kalendář má pocit, jako by jeho myšlenky a vzpomínky byly vysávány artefaktem.\n\nOdhoďte 1 Žeton stopy."
EventMythosRndmSwapStarCalendar.text,"Z Hvězdného kalendáře slyšíte podivné bzučení. Kalendář najednou zmizí, aby se záhy objevil u jednoho z vašich spojenců. Předejte Hvězdný kalendář vyšetřovateli, který je od vás nejdále. V případě remízy jej předejte vyšetřovateli po vaší levici.\n\nOba postižení vyšetřovatelé si vezmou 2 Karty Strachu otočené lícem dolů (lze předejít úspěšným hodem na {will})."
EventMythosStarCalendarClueLost2Player.button1,Pokračovat
EventMythosStarCalendarClueLost3Players.button1,Pokračovat
EventMythosRndmSwapStarCalendar.button1,Pokračovat
EventEvadeYig3.text,"Yig si vás v tuto chvíli nevšímá, ale jeho chaotické, hrozivé tělo vám stále brání v úniku. Vezměte si 2 Karty Zranění (lze předejít úspěšným hodem na {observation}). Pokud utrpíte alespoň jedno Zranění, přicházíte o svou akci."
EventEvadeYig3.button1,Pokračovat
CustomMonsterYig.Attack_firearm_1,"Snažíte se udržet klid a zamířit na tu obří nestvůru ({observation}+{will}; 4). Pokud uspějete, zůstáváte soustředění a vaše kulky zasáhnou Yigovo tělo. Udělíte mu zranění rovnající se síle vaší zbraně -1. Pokud selžete, otřeseni děsivou bytostí před sebou zaváháte."
EventCustomInsanity.text,"Zasáhne vás silný pocit chamtivosti, který vás nutí si Hvězdný kalendář ponechat. Nyní ho nemůžete vyměnit ani 'Odhalit' členům fakulty. Pokud vám byl ukraden nebo jste o něj přišli jiným způsobem, tato podmínka přestane platit, pokud ho znovu získáte.\n\nNesmíte ostatním vyšetřovatelům prozradit, proč tyto akce neprovádíte."
EventCustomInsanity.button1,Pokračovat
EventOpenBathroomDrawer.text,"Když procházíte zásuvky, abyste prozkoumali všemožné předměty, náhle ucítíte tah na paži, připomínající trhliny v tom prokletém chrámu, které vás vláčely sem a tam. Přestože pocit skončí tak rychle, jak začal, nemůžete se zbavit dojmu, že síly Hvězdného kalendáře jsou blízko k probuzení, bez ohledu na to, jak daleko se nachází od svého brazilského hrobu. Vezměte si 2 Karty Strachu otočené lícem dolů, poté otočte 1 Kartu Strachu lícem nahoru.\n\nZískejte 1 Žeton stopy."
EventOpenBathroomDrawer.button1,Pokračovat
CustomMonsterYig.Attack_firearm_2,"Máte strach mířit příliš dlouho, pokusíte se tedy o rychlou střelu do obrovitého břicha bestie ({agility}+1; 3). Pokud uspějete, vaše kulka prorazí cíl a zelený sliz začne kapat na zem. Udělte zranění rovné síle vaší zbraně -1. Pokud neuspějete, jen těsně minete svůj cíl."
CustomMonsterYig.Attack_heavy_1,"Vrháte se, abyste zasáhli Yigovy šupinaté boky, a mácháte svou zbraní se vší silou, jakou vám dodává příval adrenalinu ({strength}+1; 3). Pokud uspějete, jeho lesklá zbroj nedokáže odolat vaší síle. Udělte zranění rovné síle vaší zbraně. Pokud neuspějete, Yigovy drápy vás ošklivě zasáhnou. Vezměte si 1 Kartu Zranění."
CustomMonsterYig.Attack_unarmed_1,"Pochybujete, že vaše slabé tělo dokáže této ohavné bytosti ublížit, ale nevzdáte se bez boje {strength}+{will}. Udělte zranění rovné výsledku vašeho hodu -3."
